"","GSM317711.CEL","GSM317712.CEL","GSM317713.CEL","GSM317714.CEL","GSM317715.CEL","GSM317716.CEL","GSM317717.CEL","GSM317718.CEL","GSM317719.CEL","GSM317720.CEL","GSM317721.CEL","GSM317722.CEL","ent_gene","symbol_limma"
"33889_s_at",11.3399447422481,12.0294794537568,11.8130888545247,11.4730278050256,12.090279739885,11.6891955485047,11.7192800035383,11.9357402468488,12.2406176778623,11.9815846260462,11.7408722588867,11.4200598326516,"9993","DGCR2"
"977_s_at",6.14782729050406,6.2298745420352,7.83263231424368,6.64762658694253,6.90812253590216,6.50417948878509,7.23548621562194,6.39746572007719,6.31840986777306,6.62794492961704,6.32850088260554,6.40304034425218,"999","CDH1"
"34371_at",9.59215967834575,10.8445327581518,9.46157921759748,9.67982205818261,8.92287559717409,9.12094962125339,10.0301863520054,9.14801774367715,8.81268284767873,8.74245421329339,8.89679141371975,9.0261708853853,"9989","PPP4R1"
"41808_at",8.01092187451999,8.75113274579432,8.67299751516889,8.57736812223386,8.76392323703995,7.71910441331572,8.49684945015677,7.96202071709889,7.58930865458685,7.68567549248473,7.89089874888215,8.03820902851495,"9988","DMTF1"
"40576_f_at",7.37735129110266,9.83066189736128,8.48906007198067,8.38837400368215,8.19986818610447,7.29031266855841,8.56052502802173,8.91868882317271,8.64152144861202,8.65386634390433,8.79712861422947,8.70913731917613,"9987","HNRNPDL"
"40242_at",8.64690222017954,10.1243986684057,9.36599872532951,9.08751168161547,8.3678650667473,8.27474266193527,9.09889637289811,8.49651030708699,7.86149159591142,7.8371686669281,7.74975072633497,7.77944231123878,"9984","THOC1"
"37827_r_at",6.4734960378692,6.49250653377822,7.25638954551934,6.38433473244544,6.56924907298266,6.28773111322336,6.85533545200077,6.74880335000153,6.84202664851625,6.72430741661147,6.7821677863087,6.74003766303959,"9980","DOP1B"
"959_at",6.97900226178909,7.3777606713816,7.3112272125536,7.27599041172645,7.19060877306169,7.15213764338358,7.42578681662518,8.88215281067228,8.80135472791874,8.87932729891944,9.08833408392286,9.43602725768863,"998","CDC42"
"40698_at",8.03017600909014,6.61237134709159,7.30530858430842,10.4147242003215,7.21282125604273,6.79153127831751,8.10824552691789,6.80142206101069,6.31574793686236,5.96710525990663,6.30406769176366,6.67507033461581,"9976","CLEC2B"
"35706_at",6.61726379189909,6.98876141039685,5.93356079984774,5.9378686924902,6.20390383243347,6.51551194765883,5.83622855766355,6.54103470093047,6.68066971998884,6.94819777333411,6.83690398324304,6.38097958886666,"9975","NR1D2"
"36068_at",9.55542981282492,9.57911536143106,9.56463606647316,9.68111895292257,9.86127917049927,9.81846713946189,9.8611668661019,9.64751088539773,9.70103034442975,9.56931909831275,9.79524564884403,9.76895045752811,"9973","CCS"
"32850_at",9.18917675347511,8.93295976947201,8.51149578752418,8.16910564063199,9.12089903769936,7.79650661522535,8.71495094392706,8.36467229919072,8.08141195213253,8.18000837084098,8.56188037376419,8.45361087329985,"9972","NUP153"
"1274_s_at",9.57623833572137,10.4291868931832,9.8731761141091,9.97654264920602,9.66100017036661,9.28919645220723,9.33422858994276,9.79658670211608,10.1219451415704,10.0155553347279,10.1613102012379,10.0823734462705,"997","CDC34"
"41625_at",9.19274514607944,9.88103289525885,9.33601221378679,9.07822719607357,9.51199707006162,8.67358831954492,9.02767769339518,8.91913466719654,8.90896993455909,9.17427501061898,9.39130840861436,9.44715915060018,"9969","MED13"
"40998_at",10.0808872155158,10.4851063349007,10.2185646268141,10.017695628922,10.2122688694319,9.70402483121781,9.90515549413275,10.068522841836,9.43118592734475,9.666528436493,9.64029731840633,9.46316709796049,"9968","MED12"
"38122_at",10.4568975251728,11.0838658898588,11.0911879862612,10.3438959008649,10.9106462746472,10.4551037705616,10.9144024743827,11.32144184307,11.2940096752813,11.2584463907122,11.0836757534833,10.8259433633177,"9962","SLC23A2"
"38064_at",10.6257939610722,9.77433769873707,10.8254162361246,11.0400190257723,10.4232596187573,10.3939826239178,10.5064383009444,10.1059045296013,9.79745556263702,9.68271278139834,9.64205647300281,9.65212630753606,"9961","MVP"
"40591_at",7.56381626047751,7.2879705131046,7.41187477521325,7.72387591365682,7.73664348748866,6.7873491438157,8.14510081372119,7.5708038192937,7.13081954245784,8.02891364090053,8.07524248914057,7.99647266377226,"996","CDC27"
"41556_s_at",8.63287891004517,8.59648031262861,8.72129915136068,8.62945029420032,8.86730686051048,8.67034563843204,8.62428727048378,8.29981999193492,8.44300957243831,8.62115713163929,8.34372767961203,8.35460185644145,"9957","HS3ST1"
"1584_at",6.89106517579103,7.90015490902194,6.78050796943249,6.98729870643165,7.2117666945906,6.71612540666381,7.02767659121912,6.67477243217993,6.62930969235673,6.63592401915864,6.52195299479391,6.61055689008744,"995","CDC25C"
"38736_at",11.4051884826554,11.8301172197623,11.4099176796756,11.4336192965444,11.7292342446864,10.6053705764856,11.3350919333092,11.3712071583941,10.9988043558134,10.6043113239311,10.8672017782355,10.9509830396367,"9948","WDR1"
"39640_at",11.8286438887188,10.0396863547547,11.3436876347594,11.9141760077019,12.5074629736966,11.1641879144773,12.0235077104227,11.1006391535633,11.0617209344659,10.6285701080004,11.1351911546586,11.1689637850006,"9945","GFPT2"
"39136_at",9.54895967920374,10.0053074538012,9.64210964541176,10.3219663431872,10.0955863948449,9.14663720957537,9.64087449276389,9.25214468967919,9.16915758719565,9.16880443819206,9.10988338062397,9.08812034909983,"9943","OXSR1"
"33057_g_at",7.4899291684804,7.426629053459,7.20288958503583,7.49885729938842,7.19778583236587,7.32178864620072,6.85687722940498,6.9624428288071,7.41382992868293,7.00248578526752,7.14875341886151,7.12678897431711,"9941","EXOG"
"1347_at",11.2265079106222,12.5107082820269,11.2695560625701,11.8257713552531,11.3879980424052,10.8631550311883,11.3182719759662,10.4543590124202,10.11598245151,10.2157067704637,10.3722989930409,10.7458284587406,"994","CDC25B"
"40820_at",7.47849509698452,7.82031860346978,7.29222728700491,7.53331836250915,7.62402893540474,7.52979992981585,7.12855848449983,7.62117715371352,7.64687730434981,7.90795796436591,8.0496056190995,8.0358393522937,"9939","RBM8A"
"38149_at",9.59125945853012,9.68644289133572,10.4694717654427,10.1003064013679,9.68290380816597,10.001447109051,9.95985862294092,9.4424420098133,9.40909910454431,9.31600128638354,9.43948947182868,9.30800389230768,"9938","ARHGAP25"
"32074_at",7.76732553488274,7.74532932977295,7.58290708627576,7.29162655646877,7.51219941014069,7.95432211993367,7.37733069523568,7.57121951844909,7.57725452953847,7.50421111622341,7.44960998223572,7.6205152421083,"9937","DCLRE1A"
"33462_at",6.54425551160461,6.51932296821292,6.38761917176606,6.36187559002732,6.72249157809716,6.38915228670045,6.3339861454946,7.12094255715033,7.11402084119077,6.42485431415367,6.84924295131805,6.6547443989199,"9934","P2RY14"
"34765_at",9.51281750776506,9.71068042229814,9.33087505499916,9.5443521456228,9.44183851105804,8.97641003852619,9.37812165128486,9.17413270510248,8.83817826735143,8.85048010392838,8.85386577609952,8.70204415575557,"9933","PUM3"
"35618_at",8.57007483480796,9.1386369360365,8.39925571477618,8.10922587309922,8.63435757938447,8.22626596181198,9.14415514487935,8.14301968966103,8.55003279923657,8.4379716968984,8.53361780747144,8.59650298947103,"9931","HELZ"
"34333_at",9.83237477879452,10.4733010120191,10.1988186788354,10.0067508395322,10.2573977045853,9.49397390765058,10.1031391016731,10.1801784863247,10.2998111160107,10.0729854460277,10.1714811071785,10.0144887044229,"9929","JOSD1"
"34563_at",8.7651498893856,9.75135747124687,8.55645049843701,8.44106375264966,8.80262048183073,8.57222664839659,9.10205623674826,7.661492452932,7.42520306523654,7.28511177785734,7.63488598945214,7.95951424729077,"9928","KIF14"
"34369_at",10.9814777472296,10.8032330205657,10.8190475333189,10.7544957555177,10.5966628700658,9.87839489825933,10.6532361273227,11.1052828661148,11.2472521961432,11.1121833263115,11.0434425934375,10.9474906224048,"9927","MFN2"
