"","GSM335185.CEL","GSM335186.CEL","GSM335187.CEL","GSM335188.CEL","GSM335189.CEL","GSM335197.CEL","GSM335198.CEL","GSM335199.CEL","ent_gene","symbol_limma"
"205241_at",5.28216657655432,5.41055409770603,5.32341553267335,5.64764347073538,5.03551853392831,4.72181871033316,5.03577145114826,5.03577145114826,"9997","SCO2"
"222201_s_at",5.84953326479849,5.36344438715161,5.59211583730715,5.42212312325866,5.72827861676304,5.77401543088737,5.76774080307217,5.36113605476549,"9994","CASP8AP2"
"214198_s_at",6.20166585189027,6.22034986366072,6.61422879693731,6.20046026789694,5.42673476603608,6.27706085928889,5.94735094468922,5.80190431621985,"9993","DGCR2"
"207223_s_at",4.70504651965118,4.77717698834742,4.63479356442389,4.78732845149097,4.69789393970183,4.46178149529348,4.63479356442389,4.83379701239194,"9991","PTBP3"
"220740_s_at",4.94196181781174,4.94611821281663,4.77848985330922,5.1753364410913,5.114911426416,4.9542582185975,5.19366530570087,5.28897082646117,"9990","SLC12A6"
"201131_s_at",4.42039841430215,4.14025206628165,4.90920376989605,3.73562600867944,3.90575958065759,5.25072037265424,4.46855420757014,4.53520489994206,"999","CDH1"
"201594_s_at",7.4058699662967,7.43549586186241,7.8253122021132,7.81650919602669,7.74316515541609,7.1421021411469,6.56613448252298,6.71040374723474,"9989","PPP4R1"
"203301_s_at",7.63495739523624,6.94958453719039,7.42161475792726,7.5172984755105,7.79319195662012,7.80519931955634,7.08022808809538,6.84616225707931,"9988","DMTF1"
"209068_at",7.79915784214597,7.80584418561378,8.1221147560419,7.50997518163543,7.72321152286592,8.36050753803713,8.06242462629961,8.09395293580521,"9987","HNRNPDL"
"218599_at",6.63128993320444,6.47018735439006,6.72503893728023,6.79641564059211,6.16816184996805,6.30609043521406,6.70795183155955,6.63400687834714,"9985","REC8"
"204064_at",7.86797477688995,7.81035586986681,7.77043901485079,8.01528483941105,7.85360688098466,7.9632686903892,7.80382960869347,7.56883409807023,"9984","THOC1"
"205248_at",4.64219613578586,4.63401076655113,4.59585866113112,4.49578715942897,4.75708733077933,4.7214707406236,4.54114374535424,4.79533757415542,"9980","DOP1B"
"214230_at",4.69589220759464,4.07163164976051,4.18918061307729,4.26335578174434,4.02038336693344,4.47334249466556,5.34491307187384,5.23744722003034,"998","CDC42"
"218117_at",9.07615761268739,9.22691556183312,9.08857444457156,8.46311625409183,8.43905476655764,9.38693068887046,9.07519807725072,9.05499061069278,"9978","RBX1"
"209732_at",6.36229136837329,6.65156996608853,6.64989246683931,6.95017886909851,7.5071799365274,5.75904430772737,5.82060146363825,5.99622105489514,"9976","CLEC2B"
"209750_at",6.86716816293946,6.20846449368426,7.43913875162207,6.58140204624294,7.59284741052013,8.33751097222357,7.62320929320642,7.55719071254515,"9975","NR1D2"
"203522_at",5.9847820570674,6.39848634826127,6.10965547756485,6.01844215737338,6.01240905228841,5.92866174866395,5.80816846798054,5.87165263433814,"9973","CCS"
"202097_at",6.20251508195729,5.76944281637482,6.15298264207745,5.8743432694803,6.46095162048614,6.35881031378637,5.81565990890221,5.137607642106,"9972","NUP153"
"212540_at",6.78301161599866,6.7037456764735,7.52752594375334,6.60789123553361,6.96720238669664,6.34569212137716,6.20936209643913,6.12653684043866,"997","CDC34"
"201987_at",9.19425642049436,8.27207418124152,8.58256834587505,8.78539435706652,8.83777522354718,8.96077031459544,8.24839167762719,8.07226872055293,"9969","MED13"
"216071_x_at",6.15928479764111,6.04519978043381,6.44276640610537,6.47760209743614,6.35884242601034,6.42987942337179,6.38212703256433,6.36500094215447,"9968","MED12"
"211572_s_at",4.46910024487329,4.60253911524109,4.6795513603861,4.53171639660019,4.597919160475,4.61077100268686,4.83811141618383,4.7309774018437,"9962","SLC23A2"
"202180_s_at",5.68254593027468,6.34399504165302,5.88265816379451,6.11563994201623,5.83181728031311,5.95450953472904,5.78176308328718,5.66288707758511,"9961","MVP"
"221654_s_at",5.40736897288154,6.039609352594,6.13848586902032,6.01652890808618,6.04873329273454,5.24204146170388,5.25272474484717,5.20348991957109,"9960","USP3"
"217879_at",6.27075144630443,5.95805738873993,5.62925695882631,6.39514181793391,6.25220020262837,5.89148439506875,5.70591648894873,5.57450024203792,"996","CDC27"
"205466_s_at",6.58533466420165,4.45575694454497,6.97251714976239,4.92186879440372,7.67980069011592,3.99785022678673,4.34694420837862,4.3278442596073,"9957","HS3ST1"
"219697_at",6.76600067325331,7.1966515621264,5.93579907371042,5.93906275337503,5.83383958934577,5.98756878254109,6.60203964019776,6.96372515075833,"9956","HS3ST2"
"218241_at",7.13182993767622,7.38697439933205,6.85271493772377,6.72512569998302,6.48261071716026,7.48449763939383,6.70644267812446,6.81124925524156,"9950","GOLGA5"
"204976_s_at",4.10926631235735,4.07697979886123,4.20290107204412,4.27032976114445,4.02523910364897,4.13725028824025,4.18493767000458,4.00177808934822,"9949","AMMECR1"
"200611_s_at",7.90530598009872,8.82086271676709,8.58031721006123,8.02303003552202,7.97970988008987,7.30040626316955,7.16844877030779,7.35249511264467,"9948","WDR1"
"219767_s_at",6.85644782224568,6.85850848837058,5.93103181836609,6.3260646906149,7.01333748142326,7.34412800971519,7.75291955889236,7.38764482837629,"9946","CRYZL1"
"205100_at",6.11911049813284,6.39235013173564,7.17113303114729,5.61004286770515,5.79864904799955,5.52168695978406,5.68112044466647,5.79864904799955,"9945","GFPT2"
"202696_at",7.47235723597432,7.08221327370464,7.00874795112848,7.22413107908962,7.21037686707004,7.02178864185495,6.87396541514276,6.97070767184272,"9943","OXSR1"
"205521_at",6.54506329008796,6.01370704204082,6.10005474447346,6.14049469774023,5.78761052445331,6.40732356228998,6.24130494612363,6.20691517477667,"9941","EXOG"
"201853_s_at",7.28254731806637,7.58659108625763,8.44991533851685,7.80950922264849,7.95205525791781,7.74064146606958,7.03959831332147,7.26963436670921,"994","CDC25B"
"214113_s_at",7.42969717953451,6.9514651151698,7.24255964564206,7.79615756657698,7.83457532917508,7.57396654910442,6.72590288456232,6.72668644885702,"9939","RBM8A"
"38149_at",5.60838144105005,5.99536933674052,5.83272406811274,5.64037049890259,5.9497781742601,5.65028914850014,5.78162146873941,5.84630316313466,"9938","ARHGAP25"
"218559_s_at",8.28120547624043,9.88331533672506,7.59485099795857,9.18271725809593,9.71060291404445,5.93617679076901,7.79919226061657,7.46430976371885,"9935","MAFB"
"203712_at",6.91363817289738,6.45106391239122,7.19593141504351,7.43038652679496,6.29650766653073,6.47383398990038,6.30025441999017,6.37332656662829,"9933","PUM3"
"203674_at",8.05985891810657,8.30488757621156,7.98467695672672,7.99526201944313,8.30805669127426,7.87756404362103,7.89157411356592,7.89250575021624,"9931","HELZ"
"201751_at",7.07739599371086,7.14670034852919,7.08713243769767,6.91340074173141,6.4586648799422,7.01616266326458,7.02484582915343,6.99142886042542,"9929","JOSD1"
"206364_at",5.081151140906,4.07261676091474,5.05314505300882,4.94563829539929,4.17958373682012,3.81954657019759,3.79479475115835,3.80083099396552,"9928","KIF14"
"216205_s_at",4.76795162929677,4.47210225327491,4.49446737956561,4.47572140749629,4.73064282341525,4.8659676306569,4.98609822949827,4.94226856368805,"9927","MFN2"
"202651_at",5.47823996030917,5.92217302000703,5.08822962474216,5.6259697389514,5.0020371595957,8.1466563757181,6.47428094444281,6.39212118487571,"9926","LPGAT1"
"203026_at",7.02219434169052,6.52682864392632,7.2230915488009,6.83934571170376,6.24962718932619,7.25731424275226,6.46709496567649,6.5875098695187,"9925","ZBTB5"
"203117_s_at",5.57312581452766,5.91142348770754,6.08365708298481,5.92388803209982,6.06836894085547,6.67648452082863,5.99891201751091,5.97894286884029,"9924","PAN2"
"203959_s_at",7.44761276458053,7.41752903338031,7.64769031583318,7.61917731860623,7.67778339927664,7.69859084503485,7.60759929104029,7.64769031583318,"9923","ZBTB40"
"203906_at",6.61915228476065,6.86466354360516,6.68385445802274,6.98137118384671,6.53849817862576,7.2289420311781,8.13994896789683,7.74362958690623,"9922","IQSEC1"
"208632_at",4.93750332147153,5.1886950396614,5.09895416069442,5.21575689089657,5.41377194412144,5.46860577423757,5.18374781258019,4.93996362765376,"9921","RNF10"
"204301_at",6.16374794909367,7.20515478415121,5.02925559599036,6.15849296778762,6.03865082181909,7.51977305773398,7.46366672401132,7.64482760461648,"9920","KBTBD11"
