"","GSM335197.CEL","GSM335198.CEL","GSM335199.CEL","ent_gene","symbol_limma"
"205241_at",4.72181871033316,5.03577145114826,5.03577145114826,"9997","SCO2"
"222201_s_at",5.77401543088737,5.76774080307217,5.36113605476549,"9994","CASP8AP2"
"214198_s_at",6.27706085928889,5.94735094468922,5.80190431621985,"9993","DGCR2"
"207223_s_at",4.46178149529348,4.63479356442389,4.83379701239194,"9991","PTBP3"
"220740_s_at",4.9542582185975,5.19366530570087,5.28897082646117,"9990","SLC12A6"
"201131_s_at",5.25072037265424,4.46855420757014,4.53520489994206,"999","CDH1"
"201594_s_at",7.1421021411469,6.56613448252298,6.71040374723474,"9989","PPP4R1"
"203301_s_at",7.80519931955634,7.08022808809538,6.84616225707931,"9988","DMTF1"
"209068_at",8.36050753803713,8.06242462629961,8.09395293580521,"9987","HNRNPDL"
"218599_at",6.30609043521406,6.70795183155955,6.63400687834714,"9985","REC8"
"204064_at",7.9632686903892,7.80382960869347,7.56883409807023,"9984","THOC1"
"205248_at",4.7214707406236,4.54114374535424,4.79533757415542,"9980","DOP1B"
"214230_at",4.47334249466556,5.34491307187384,5.23744722003034,"998","CDC42"
"218117_at",9.38693068887046,9.07519807725072,9.05499061069278,"9978","RBX1"
"209732_at",5.75904430772737,5.82060146363825,5.99622105489514,"9976","CLEC2B"
"209750_at",8.33751097222357,7.62320929320642,7.55719071254515,"9975","NR1D2"
"203522_at",5.92866174866395,5.80816846798054,5.87165263433814,"9973","CCS"
"202097_at",6.35881031378637,5.81565990890221,5.137607642106,"9972","NUP153"
"212540_at",6.34569212137716,6.20936209643913,6.12653684043866,"997","CDC34"
"201987_at",8.96077031459544,8.24839167762719,8.07226872055293,"9969","MED13"
"216071_x_at",6.42987942337179,6.38212703256433,6.36500094215447,"9968","MED12"
"211572_s_at",4.61077100268686,4.83811141618383,4.7309774018437,"9962","SLC23A2"
"202180_s_at",5.95450953472904,5.78176308328718,5.66288707758511,"9961","MVP"
"221654_s_at",5.24204146170388,5.25272474484717,5.20348991957109,"9960","USP3"
"217879_at",5.89148439506875,5.70591648894873,5.57450024203792,"996","CDC27"
"205466_s_at",3.99785022678673,4.34694420837862,4.3278442596073,"9957","HS3ST1"
"219697_at",5.98756878254109,6.60203964019776,6.96372515075833,"9956","HS3ST2"
"218241_at",7.48449763939383,6.70644267812446,6.81124925524156,"9950","GOLGA5"
"204976_s_at",4.13725028824025,4.18493767000458,4.00177808934822,"9949","AMMECR1"
"200611_s_at",7.30040626316955,7.16844877030779,7.35249511264467,"9948","WDR1"
"219767_s_at",7.34412800971519,7.75291955889236,7.38764482837629,"9946","CRYZL1"
"205100_at",5.52168695978406,5.68112044466647,5.79864904799955,"9945","GFPT2"
"202696_at",7.02178864185495,6.87396541514276,6.97070767184272,"9943","OXSR1"
"205521_at",6.40732356228998,6.24130494612363,6.20691517477667,"9941","EXOG"
"201853_s_at",7.74064146606958,7.03959831332147,7.26963436670921,"994","CDC25B"
"214113_s_at",7.57396654910442,6.72590288456232,6.72668644885702,"9939","RBM8A"
"38149_at",5.65028914850014,5.78162146873941,5.84630316313466,"9938","ARHGAP25"
"218559_s_at",5.93617679076901,7.79919226061657,7.46430976371885,"9935","MAFB"
"203712_at",6.47383398990038,6.30025441999017,6.37332656662829,"9933","PUM3"
"203674_at",7.87756404362103,7.89157411356592,7.89250575021624,"9931","HELZ"
"201751_at",7.01616266326458,7.02484582915343,6.99142886042542,"9929","JOSD1"
"206364_at",3.81954657019759,3.79479475115835,3.80083099396552,"9928","KIF14"
"216205_s_at",4.8659676306569,4.98609822949827,4.94226856368805,"9927","MFN2"
"202651_at",8.1466563757181,6.47428094444281,6.39212118487571,"9926","LPGAT1"
"203026_at",7.25731424275226,6.46709496567649,6.5875098695187,"9925","ZBTB5"
"203117_s_at",6.67648452082863,5.99891201751091,5.97894286884029,"9924","PAN2"
"203959_s_at",7.69859084503485,7.60759929104029,7.64769031583318,"9923","ZBTB40"
"203906_at",7.2289420311781,8.13994896789683,7.74362958690623,"9922","IQSEC1"
"208632_at",5.46860577423757,5.18374781258019,4.93996362765376,"9921","RNF10"
"204301_at",7.51977305773398,7.46366672401132,7.64482760461648,"9920","KBTBD11"
"215696_s_at",7.0368901529114,6.85192060347041,6.58346914481111,"9919","SEC16A"
"201774_s_at",6.16279480729588,5.92982043020935,5.99661589392848,"9918","NCAPD2"
"202916_s_at",6.25221761120025,6.32624715338903,6.27659510138961,"9917","FAM20B"
"202986_at",8.12943034851989,8.44437187351375,8.1527862331434,"9915","ARNT2"
"214798_at",4.70165220777771,4.6807662483714,4.78004147711638,"9914","ATP2C2"
"201838_s_at",5.09990341554324,5.19222735637162,5.32155064840105,"9913","SUPT7L"
"215232_at",5.96069261962631,5.93099646612939,6.10680454891316,"9912","ARHGAP44"
"213096_at",7.65801311934669,7.26327118649429,7.04940256490737,"9911","TMCC2"
"203020_at",8.46970831313705,8.69975309132298,8.33260390029097,"9910","RABGAP1L"
"202870_s_at",4.75002866387977,4.45044446130091,4.82721077390291,"991","CDC20"
"202860_at",7.42387796640497,7.50768511628427,7.49695284443585,"9909","DENND4B"
"208841_s_at",7.78523814298337,8.11717649408418,7.77698740018535,"9908","G3BP2"
"217538_at",4.53151684372739,4.62536630378036,4.61100300778124,"9905","SGSM2"
"205115_s_at",5.28058656357738,5.33921627300265,5.69386209396979,"9904","RBM19"
"37408_at",7.40059860287238,7.36548983926881,7.46460875249136,"9902","MRC2"
"209794_at",7.04298893315898,7.76905705219992,7.55069939817515,"9901","SRGAP3"
"203069_at",8.08623646548702,9.40312332693479,9.14596678404928,"9900","SV2A"
"203967_at",3.99419874039335,4.11144201895512,4.06243834901234,"990","CDC6"
"205551_at",5.3183442755527,8.10990081862698,7.92860299946635,"9899","SV2B"
"201377_at",6.71127399005791,6.19261802864414,6.34414834368087,"9898","UBAP2L"
"201985_at",6.73986584295366,6.13058392592548,6.13309467833879,"9897","WASHC5"
"203656_at",7.44326618039038,7.77657177770012,7.62880649443852,"9896","FIG4"
"204308_s_at",8.21821283225635,7.56913836389014,7.67095257226424,"9895","TECPR2"
"204953_at",5.79266918909139,8.07043654903055,7.64610814166355,"9892","SNAP91"
"204589_at",9.62176895567452,9.76982688617756,9.65810170836078,"9891","NUAK1"
"213496_at",4.99654830961736,6.96463157709626,6.12810377220764,"9890","PLPPR4"
"213151_s_at",12.5417227623759,11.9515053067231,12.0935911965249,"989","SEPTIN7"
"201794_s_at",6.075558340798,6.0900966741577,6.16991329071222,"9887","SMG7"
"212651_at",5.7962164101916,5.51244074716803,5.36015528062285,"9886","RHOBTB1"
"209221_s_at",6.14293848871442,6.12377468838611,6.12377468838611,"9885","OSBPL2"
"205096_at",5.05419998778948,5.52361257543572,5.23999729270545,"9883","POM121"
"203387_s_at",6.09536745581575,6.4502854245738,6.34158912071075,"9882","TBC1D4"
"213261_at",5.01562944713504,5.3711787944244,5.44782200328912,"9881","TRANK1"
"205256_at",5.4122669072494,5.19891023215342,5.15124751601476,"9880","ZBTB39"
"222179_at",5.46165203069314,5.22870586923017,5.55485327132088,"988","CDC5L"
"202462_s_at",7.20581429385121,6.94326051748776,6.98398896744716,"9879","DDX46"
"201683_x_at",7.77497216716616,7.85411489882736,7.60701757334626,"9878","TOX4"
"212996_s_at",5.79607398738789,5.17090126369714,5.21285630816308,"9875","URB1"
"202606_s_at",7.35392701346422,7.79674629650242,7.57917007896326,"9874","TLK1"
"203620_s_at",7.1722069292815,7.12343750089867,6.83417795313202,"9873","FCHSD2"
"202128_at",6.29457402832139,5.66098760041242,5.6016795207875,"9870","AREL1"
"214109_at",5.12839362937202,5.03808962702957,5.18496497820173,"987","LRBA"
"203155_at",6.34236343470391,6.09002988128682,5.89128506403136,"9869","SETDB1"
"201512_s_at",5.36332893574552,5.56120447583828,5.45621816409177,"9868","TOMM70"
"201133_s_at",9.16013230577899,8.92967003762097,8.80311684923245,"9867","PJA2"
"213748_at",5.36882325294863,5.3782619870024,5.29415912023671,"9866","TRIM66"
"205150_s_at",7.55703272441423,6.95698995392387,6.73133165784678,"9865","TRIL"
"209737_at",8.69413903543196,8.79321909670168,8.4550881590316,"9863","MAGI2"
"202753_at",9.10987998141014,8.89343132432254,8.66783949796303,"9861","PSMD6"
"205953_at",5.16719155595915,4.67612302139111,4.92825204963976,"9860","LRIG2"
"203955_at",6.60758967491904,6.81043274476051,6.78098616146332,"9858","PPP1R26"
"213957_s_at",5.70673101576352,5.63088261299321,5.68888821298607,"9857","CEP350"
"204511_at",5.52055964824054,5.26644461728416,5.43912330730251,"9855","FARP2"
"202909_at",8.46877011302158,7.9294885825556,7.65903476485997,"9852","EPM2AIP1"
"204291_at",5.06337916559831,4.28933722211635,4.21058855063861,"9849","ZNF518A"
"205442_at",9.07111134624327,8.28111404816106,7.92391253581894,"9848","MFAP3L"
"212943_at",8.11119945937483,8.51543265865428,8.02122657287858,"9847","C2CD5"
"203853_s_at",9.5443932380375,8.50551391622678,8.70036624944182,"9846","GAB2"
"204513_s_at",8.62313203740982,8.18361349598154,8.03345362132088,"9844","ELMO1"
"203903_s_at",5.83539745367732,5.42610410349507,4.9914040632943,"9843","HEPH"
"212717_at",6.90301477558173,6.67937440620481,6.64542617378953,"9842","PLEKHM1"
"205340_at",6.6860818215569,6.33744938663962,6.02242407857274,"9841","ZBTB24"
"219724_s_at",4.65040423200452,5.06581769032846,4.9323137394114,"9840","TESPA1"
"203603_s_at",8.53137713883208,7.25820602865841,6.60190288732869,"9839","ZEB2"
"206102_at",4.33609922900723,4.27230181411902,4.28677828187478,"9837","GINS1"
"204012_s_at",6.69781518206274,6.41794848442759,6.1509477424675,"9836","LCMT2"
"206478_at",4.86471767298863,4.77929274525496,4.80691668421999,"9834","FAM30A"
"204825_at",5.27709920618636,5.2141954287036,5.34332928314163,"9833","MELK"
