"","GSM492662_Astrocytomas_T4.1.CEL","GSM492663_Astrocytomas_T4.2.CEL","GSM492664_Astrocytomas_T4.3.CEL","GSM492665_Astrocytomas_T4.4.CEL","GSM492666_Astrocytomas_T4.5.CEL","GSM525014.CEL","GSM525015.CEL","GSM525016.CEL","ent_gene","symbol_limma"
"205241_at",6.53509473425321,5.88795177355171,6.22065108594156,7.95643367448468,8.09646679958825,7.73612979729502,7.25693173913394,7.42772056473795,"9997","SCO2"
"222201_s_at",6.4663302885092,7.53440747731164,6.37755986782013,6.91269053656411,6.79040996424797,7.25695876621017,7.06056447169892,7.40837759251417,"9994","CASP8AP2"
"214198_s_at",6.949208688636,8.06062023168429,7.95515958085347,6.66220984071612,7.92745265126785,8.30902688641849,8.32589642122022,8.23075489723484,"9993","DGCR2"
"224617_at",7.78528607444885,7.32901651458843,7.68431333416315,7.53221160739634,7.8769113363822,8.11125951708961,8.50137638793674,8.41812511717923,"9991","PTBP3"
"226741_at",8.64152759081742,8.76305548144305,8.78977351087668,8.12762354027953,8.43977409788723,9.29277130532678,9.06082595146992,9.55933367109968,"9990","SLC12A6"
"201131_s_at",4.96865080329249,3.86150774007497,4.46717823491629,4.37135189479573,5.31385726586668,6.34769755285306,5.83131461806734,7.5674934565173,"999","CDH1"
"201594_s_at",7.81654926046241,8.94344242907712,8.71516904610522,8.46784901991103,8.91802597320891,7.63278356467587,7.80846451384603,8.2504030063638,"9989","PPP4R1"
"203301_s_at",8.93648474954245,9.84683731738671,9.9330566415532,9.1591261900266,9.32540357241079,8.24395716082323,8.39929038711154,8.45491784372631,"9988","DMTF1"
"209068_at",7.76992145177645,8.67316881097502,8.89587712396121,7.7200838214523,8.12993411484567,8.97888828319339,9.20111145597335,9.22112668282705,"9987","HNRNPDL"
"205333_s_at",5.7849954323168,6.47260236798389,6.47665069667424,6.91107318850907,6.76735563917364,6.32916477355361,5.96873173754295,6.36778551058732,"9986","RCE1"
"218599_at",7.40652881861293,8.62021517063221,7.38328107672579,8.41591002566841,7.68958201011702,6.87412654673071,6.93952908693813,6.87981832934193,"9985","REC8"
"204064_at",7.42807248716913,8.09425986328714,8.17644475863202,7.50915053830884,7.71916922952116,6.98873643766069,7.29742805800604,8.02278964459327,"9984","THOC1"
"205248_at",5.15983734827453,4.72576333383724,5.48214831700767,5.44953275944096,5.94549282756654,5.3628157588593,5.60040110496099,5.58061274373872,"9980","DOP1B"
"210232_at",6.19498652311791,5.31591338812923,6.6144153717514,5.44019435633821,5.87300821524893,10.1086004835675,9.92703767720375,9.19453158052325,"998","CDC42"
"218117_at",9.56878157622167,9.21005091057826,9.42069988147609,9.77961148872214,10.3428843275019,10.6041615118303,10.5729861433663,11.1471592348379,"9978","RBX1"
"209732_at",8.2666565208857,5.70203596443224,7.05121909008958,8.7505295561197,7.97295942721632,6.38386126478849,7.55838892322658,6.95891640243133,"9976","CLEC2B"
"209750_at",8.66482442908866,8.69470730842239,7.94227107960162,7.84834762812838,6.4585471985182,6.56927426565335,6.91549453867324,6.97101119579419,"9975","NR1D2"
"203522_at",6.73692090666428,7.87788062618193,7.10806347037053,7.00705139638567,6.99797650405427,7.62775644368066,7.63449296462974,7.60508606494587,"9973","CCS"
