"","GSM2417003","GSM2417004","GSM2417005","GSM2417006","GSM2417007","GSM2417009","GSM2417011","GSM2417015","GSM2417016","ent_gene","symbol_limma"
"11719972_at",7.27888521414253,6.39542015899922,8.59349879961043,6.4607167372263,6.5893434378117,6.40203645664661,6.71315504834689,6.12171934983043,7.0132389583183,"9997","SCO2"
"11756721_a_at",7.85170349939502,7.32302344913641,7.22239402242005,7.74268328185863,7.64013991894477,7.38916253600425,7.55214928985333,7.69312064039122,7.23881050892111,"9994","CASP8AP2"
"11756235_a_at",4.80281779827089,4.81214879527266,4.83596573353453,4.96028278209964,4.63957372158361,4.72278838836701,4.66610631671649,4.90016645902236,4.97493463281531,"9993","DGCR2"
"11733058_a_at",3.41197692603057,3.16958646187442,3.71235765601566,3.25340127663208,3.4830350553167,3.39702580580629,3.3915209024894,3.33317149481451,3.53658811413589,"9991","PTBP3"
"11724323_a_at",7.55661917495278,8.07352516591191,8.01672718237399,8.30384753520815,8.18835227886689,8.18555653026146,8.23627940234664,8.03827714825429,7.860415211592,"9990","SLC12A6"
"11716905_a_at",3.11076129572473,3.33467357757168,3.28615289255193,2.92805057288492,3.09888585650692,3.07405829607935,3.21420187030238,3.220337294547,3.14287230164232,"999","CDH1"
"11757779_s_at",6.94253456611764,7.3754397632742,7.66467001833649,7.12443962149518,8.39213976545016,7.71777361949434,7.400750773561,8.22934015815551,7.32287860768638,"9989","PPP4R1"
"11719326_a_at",7.83733484120027,8.61286510932871,8.83932529668395,8.79192535095608,8.99566640887416,8.4852069636205,8.31443520670062,9.00904992973904,8.22495080756636,"9988","DMTF1"
"11720626_s_at",8.80617719770856,8.5460092946172,8.22895446956517,8.98414234370956,8.96352104902096,8.97256463265469,8.90090961181711,9.13201023884362,8.77483429673006,"9987","HNRNPDL"
"11726761_x_at",5.91260145672048,5.88943052370381,5.70786656329875,5.85919666659793,5.70707519875833,5.53122548192783,5.67433679638397,5.93005770437015,5.91651636292275,"9986","RCE1"
"11718204_a_at",4.9368335807052,6.83001837502696,8.44354534883156,6.95952121216085,7.76573410386985,7.00536337952165,6.52149420048457,7.25439703215641,6.89886334728508,"9985","REC8"
"11719137_a_at",2.90057796938662,2.87322107771372,2.76770348521358,2.86617855063156,2.76405288844981,2.73401309059071,2.69544258279573,3.39732866921215,2.79397101177536,"9984","THOC1"
"11723051_at",3.61303702832012,3.41273768503393,3.27258006774831,3.4044033914563,3.43495049848096,3.383393834098,3.2439598274757,3.45166568117011,3.49232892871749,"9982","FGFBP1"
"11733324_x_at",5.79785841527297,6.14068886346961,6.24110229205867,6.73192848092481,5.81082621454043,6.12041211256029,6.47285332111627,5.44543549318438,6.07069429052419,"9980","DOPEY2"
"11725717_at",8.96352904163929,8.00285194820485,5.66358659882006,8.40385254442197,6.70837488094675,8.21056949041176,8.99668032598616,4.84860681988232,8.36444864583041,"998","CDC42"
"11716334_a_at",9.99180408820714,9.61657490792228,10.2719358071938,9.66075881109298,9.46090468414821,9.37248825210947,9.5770979242331,9.64577654919056,9.41463788555955,"9978","RBX1"
"11721302_a_at",5.71861317806121,5.25683671804032,6.71816092759422,4.49241213970308,3.72268295305861,5.1247135954619,4.513532729648,5.10957768858915,5.92668603373918,"9976","CLEC2B"
"11722088_s_at",8.80453534927656,7.88344321822304,7.21820432709351,8.09539126721746,8.30784915421708,8.24904898348383,8.95278253930455,8.06893880699554,8.03301127165509,"9975","NR1D2"
"11720676_s_at",7.56708441432532,7.73927909991414,7.71284617288489,7.75227762782755,7.91718683325244,7.35335626654159,7.43619750563067,7.76262225363029,7.77375724641463,"9973","CCS"
"11719636_a_at",6.99586989895133,7.43428316217002,7.40415834865103,7.8401996152449,8.02454819757103,7.6396122002272,7.88569719047705,7.86929126421393,7.51913591767264,"9972","NUP153"
"11756222_a_at",3.18489155001647,3.57844142986279,3.40075327050574,3.08126716162665,3.42221367955418,3.13883447299136,3.31914087323905,3.49305365741381,3.20119133034095,"9971","NR1H4"
"11750335_a_at",3.80874655149038,3.97949210222975,3.90366889558906,3.92729457601631,3.4735458228504,3.78329251805079,3.26758395652869,3.99087312521989,3.75204609362369,"9970","NR1I3"
"11758296_s_at",7.95003603176516,8.0936469390174,8.02596251548329,8.16957326918983,8.13462015860876,7.96424284726775,7.83938366187471,8.34667816967148,8.21758772660129,"997","CDC34"
"11739635_at",3.89534898314482,4.24507403908005,4.35369522122459,4.13001195739577,5.09544955726586,4.40663600678447,4.46737845370215,4.59220076950483,4.11249389745876,"9969","MED13"
"11723361_a_at",4.58658810627357,6.12524370658904,6.34602639933497,6.04227625397266,6.58291109171735,5.83922728783851,5.52103979991719,6.2241283833146,5.15632782484715,"9968","MED12"
"11717277_a_at",4.35778800702641,3.66819363912743,3.57995894268008,4.27029265927934,4.25077271973687,4.16892085840444,3.8450175257193,3.89308986862036,4.10212642969463,"9967","THRAP3"
"11736959_a_at",3.30369393169966,3.37621808895618,3.2141381805653,3.21899786072893,3.26294938627063,3.24166323737477,2.99613091091253,3.1405774249793,3.68433957791657,"9966","TNFSF15"
"11731165_at",3.9584709497405,3.75322932574333,3.63354104235409,3.8187885339176,3.57656380002779,3.62434184618724,3.85228610739887,3.78308252092726,3.79352000792808,"9965","FGF19"
"11751715_a_at",3.39228480315862,3.13208795091956,3.28921734241332,3.27970317385837,3.30776802340583,3.21113169370758,3.11277754457302,3.65338578523464,3.34933663915918,"9963","SLC23A1"
"11719339_a_at",7.31282561759973,8.36193657498366,8.7054033747065,8.82222439244071,8.09810675452186,8.34810975821464,8.30460617564263,8.20843902818149,8.41552620743627,"9962","SLC23A2"
"11716135_a_at",4.54779763522192,5.93918085535162,8.41214940789237,5.78045431886439,5.24982316551259,5.6570234370277,5.27508195509084,6.18537579132174,5.34777337129195,"9961","MVP"
"11749740_a_at",6.12923843153133,6.41682042264496,7.00798209662798,6.19232174959731,8.0972604802463,6.78565951911833,6.29692075723835,7.53282771702306,6.16749444854347,"9960","USP3"
"11743401_x_at",10.1694387512436,9.63950070211997,8.93422411400343,9.51697724036828,9.36307687470531,9.38028772966437,9.39546820199102,9.0793617876664,9.22256084386303,"996","CDC27"
"11717777_a_at",6.01557060602115,5.4123327567127,6.66499552564652,4.89213196898066,5.54545204075159,5.36812176201578,5.55367690994047,5.66510639823064,5.10087275130225,"9958","USP15"
"11733913_at",6.11236858535517,5.03529757310561,6.4627654455117,6.79129607754975,6.77211554843966,5.45010117370449,6.65426721533556,5.67468968369356,6.22416691343594,"9957","HS3ST1"
"11724402_s_at",6.2180049385101,6.57259941563416,4.4110592732176,6.29165227569226,5.54169028649865,6.79069558937662,7.50920567400029,3.2881867314141,6.23847574675255,"9956","HS3ST2"
"11763594_a_at",3.61303702832012,3.89468790030031,3.41430026017145,3.3258141324267,3.45505753669326,3.87338534955506,3.54610196821652,3.40090193457988,3.1218379216352,"9953","HS3ST3B1"
"11735900_s_at",8.36623966027446,9.07726631049641,6.64869658742788,8.36388005817394,7.18224858351674,8.24849654509392,9.09833772318499,5.04144841355931,7.52166328598847,"9951","HS3ST4"
"11719387_a_at",7.51974775010031,7.23006662241079,7.3154356493926,7.17531040743055,7.44529164237117,7.24965062057915,7.41435643432793,7.48706077654518,7.09205118624023,"9950","GOLGA5"
"11748104_a_at",3.73936602109022,3.92968409411077,3.72542139890524,3.55925661948953,3.50614812076751,3.5768891457972,3.39577600157162,3.89089029363502,3.58662943186684,"995","CDC25C"
"11758228_s_at",4.52892971407902,4.539255946005,4.63418866976563,5.22597570210363,4.72163020143976,4.9391092402624,4.63741308084865,4.4114622424002,3.65318822724961,"9949","AMMECR1"
"11751527_s_at",3.6788216852376,3.64739781593446,4.41862351832147,3.68547981449609,4.2609011580922,4.5252339235791,4.36104788519262,4.57749322699745,4.20739720145843,"9948","WDR1"
"11742879_a_at",8.55101505447084,7.56700708373709,7.00265294940678,7.14682594364032,7.37130395346312,7.81954935615037,8.03900643811202,7.16986879477554,7.9991404133613,"9946","CRYZL1"
"11721133_at",4.96993732255665,5.46250478433089,5.136246383895,5.23866254870151,5.23437797890887,4.90437666988105,4.97493463281531,5.21715425295351,5.65777547632228,"9945","GFPT2"
"11717616_at",6.76598016036917,6.76747777302238,7.09747886069709,7.04089443274645,7.21897375363753,7.19127016589135,7.31091517199957,7.41994107995913,7.08111665056474,"9943","OXSR1"
